What is the descriiption of the apartment with the ID 14? ||| SELECT DESCRIPTION FROM APARTMENTDESCRIPTION WHERE APARTMENTID = 14 ;
List the owners and the total value of all apartments they have transferred. ||| SELECT O.OWNERNAME , SUM( OT.PRICE ) AS TOTALTRANSFERVALUE FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID GROUP BY O.OWNERNAME ;
Select all adresses of all apartments ||| SELECT APARTMENTADDRESS FROM APARTMENTDETAILS ;
Get the descriptions of apartments with a balcony ||| SELECT AD.APARTMENTADDRESS , AD.BALCONY , AD.NUMBEROFROOMS , AD.SIZE , D.DESCRIPTION FROM APARTMENTDETAILS AD JOIN APARTMENTDESCRIPTION D ON D.APARTMENTID = AD.APARTMENTID WHERE AD.BALCONY = 1 ;
Get top 5 highest-rated apartments ||| SELECT AD.APARTMENTADDRESS , AVG ( AR.RATING ) AS AVGRATING FROM APARTMENTDETAILS AD JOIN APARTMENTRATINGS AR ON AR.APARTMENTID = AD.APARTMENTID GROUP BY AD.APARTMENTID ORDER BY AVGRATING DESC LIMIT 5 ;
Get apartments which are bigger than 1000 ||| SELECT APARTMENTADDRESS , SIZE FROM APARTMENTDETAILS WHERE SIZE > 1000 ;
Find apartments with more than 2 bathrooms and a rating higher than 4 ||| SELECT AD.APARTMENTADDRESS , AD.NUMBEROFBATHROOMS , AVG ( AR.RATING ) AS AVGRATING FROM APARTMENTDETAILS AD JOIN APARTMENTRATINGS AR ON AR.APARTMENTID = AD.APARTMENTID GROUP BY AD.APARTMENTID HAVING AD.NUMBEROFBATHROOMS > 2 AND AVG ( AR.RATING ) > 4 ;
Find how many apartments have balconies ||| SELECT COUNT( * ) AS BALCONYAPARTMENTS FROM APARTMENTDETAILS WHERE BALCONY = 1 ;
Find all unique owner names ||| SELECT DISTINCT O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID ;
List all apartments that have a description containing thw word 'beautiful' ||| SELECT AD.APARTMENTADDRESS , D.DESCRIPTION FROM APARTMENTDETAILS AD JOIN APARTMENTDESCRIPTION D ON D.APARTMENTID = AD.APARTMENTID WHERE D.DESCRIPTION LIKE "%beautiful%" ;
Count the number of transfers each owner has been involved in ||| SELECT COUNT( AO.TRANSFERID ) AS TRANSFERCOUNT , O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID GROUP BY O.OWNERID ;
Select all Apartments which have been transfered for more than the average price ||| SELECT AD.APARTMENTADDRESS , T.PRICE FROM APARTMENTDETAILS AD JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AD.APARTMENTID JOIN OWNERSHIPTRANSFERS T ON T.TRANSFERID = AO.TRANSFERID WHERE T.PRICE > ( SELECT AVG ( PRICE ) FROM OWNERSHIPTRANSFERS ) ;
Select all apartments with a rating of 5 ||| SELECT AD.APARTMENTADDRESS , AR.RATING FROM APARTMENTDETAILS AD JOIN APARTMENTRATINGS AR ON AR.APARTMENTID = AD.APARTMENTID WHERE AR.RATING = 5 ;
Find all apartments along with their transfer details ||| SELECT AD.APARTMENTADDRESS , T.DATE , T.PRICE FROM APARTMENTDETAILS AD JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AD.APARTMENTID JOIN OWNERSHIPTRANSFERS T ON T.TRANSFERID = AO.TRANSFERID ;
List all apartments and their ratings (if available) ||| SELECT AD.APARTMENTADDRESS , AR.RATING FROM APARTMENTDETAILS AD LEFT JOIN APARTMENTRATINGS AR ON AR.APARTMENTID = AD.APARTMENTID ;
Find the highest transfer price and the corresponding apartment address ||| SELECT AD.APARTMENTADDRESS , MAX( T.PRICE ) AS MAXPRICE FROM APARTMENTDETAILS AD JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AD.APARTMENTID JOIN OWNERSHIPTRANSFERS T ON T.TRANSFERID = AO.TRANSFERID ;
List all transfers before the year 2022 ||| SELECT AD.APARTMENTADDRESS , T.DATE , T.PRICE FROM APARTMENTDETAILS AD JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AD.APARTMENTID JOIN OWNERSHIPTRANSFERS T ON T.TRANSFERID = AO.TRANSFERID WHERE T.DATE < "2022-01-01" ;
Get the average, minimum, and maximum size of apartments ||| SELECT AVG ( SIZE ) AS AVERAGESIZE , MAX( SIZE ) AS MAXIMUMSIZE , MIN( SIZE ) AS MINIMUMSIZE FROM APARTMENTDETAILS ;
Find how many unique owners exist in the database ||| SELECT COUNT( DISTINCT OWNERID ) AS UNIQUEOWNERS FROM OWNERS ;
List all apartments that share the same number of rooms and bathrooms ||| SELECT A1.APARTMENTADDRESS AS APARTMENT1 , A1.NUMBEROFBATHROOMS , A1.NUMBEROFROOMS , A2.APARTMENTADDRESS AS APARTMENT2 FROM APARTMENTDETAILS A1 JOIN APARTMENTDETAILS A2 ON A2.NUMBEROFROOMS = A1.NUMBEROFROOMS AND A2.NUMBEROFBATHROOMS = A1.NUMBEROFBATHROOMS WHERE A2.APARTMENTID != A1.APARTMENTID ;
Get the first 3 apartments with the highest number of rooms ||| SELECT APARTMENTADDRESS , NUMBEROFROOMS FROM APARTMENTDETAILS ORDER BY NUMBEROFROOMS DESC LIMIT 3 ;
Find apartments that either have a balcony or more than 3 rooms ||| SELECT APARTMENTADDRESS , BALCONY FROM APARTMENTDETAILS WHERE BALCONY = 1 UNION SELECT APARTMENTADDRESS , BALCONY FROM APARTMENTDETAILS WHERE NUMBEROFROOMS > 3 ;
Find the average rating of apartments per number of rooms ||| SELECT AD.NUMBEROFROOMS , AVG ( AR.RATING ) AS AVGRATING FROM APARTMENTDETAILS AD JOIN APARTMENTRATINGS AR ON AR.APARTMENTID = AD.APARTMENTID GROUP BY AD.NUMBEROFROOMS ;
Calculate the total price of all transfers ||| SELECT SUM( T.PRICE ) AS TOTALTRANSFERPRICE FROM OWNERSHIPTRANSFERS T ;
List all apartments owned by 'Joy Smith' ||| SELECT AD.APARTMENTADDRESS , AD.SIZE , O.OWNERNAME FROM APARTMENTDETAILS AD JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AD.APARTMENTID JOIN OWNERS O ON O.OWNERID = AO.OWNERID WHERE O.OWNERNAME = "Joy Smith" ;
Find owners who have sold more than nine apartment ||| SELECT COUNT( AO.APARTMENTID ) AS APARTMENTSSOLD , O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID GROUP BY O.OWNERID HAVING COUNT( AO.APARTMENTID ) > 9 ;
List apartments transferred for prices between 100,000 and 500,000 ||| SELECT AD.APARTMENTADDRESS , T.PRICE FROM APARTMENTDETAILS AD JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AD.APARTMENTID JOIN OWNERSHIPTRANSFERS T ON T.TRANSFERID = AO.TRANSFERID WHERE T.PRICE BETWEEN 100000 AND 500000 ;
