What is the descriiption of the apartment with the ID 14? ||| SELECT DESCRIPTION FROM APARTMENTDESCRIPTION WHERE APARTMENTID = 14 ;
What is the average price of apartment transfers by year? ||| SELECT CAST ( SUM( CAST ( T2.DATE AS INTEGER ) + 1900 - 1 ) * T1.PRICE AS REAL ) / COUNT( * ) , STRFTIME ( "%Y" , T2.DATE ) FROM OWNERSHIPTRANSFERS AS T1 INNER JOIN OWNERSHIPTRANSFERS AS T2 ON T2.TRANSFERID = T1.TRANSFERID ;
Find the most common number of rooms among all apartments. ||| SELECT NUMBEROFROOMS FROM APARTMENTDETAILS GROUP BY NUMBEROFROOMS ORDER BY COUNT( * ) DESC LIMIT 1 ;
Retrieve the owners and the total number of bathrooms in the apartments they own. ||| SELECT T1.OWNERID , T2.NUMBEROFBATHROOMS FROM OWNERS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T3 ON T3.OWNERID = T1.OWNERID INNER JOIN APARTMENTDETAILS AS T2 ON T3.APARTMENTID = T2.APARTMENTID GROUP BY T1.OWNERID ;
List the apartments with the smallest size that have at least two bathrooms. ||| SELECT APARTMENTADDRESS FROM APARTMENTDETAILS WHERE NUMBEROFBATHROOMS >= 2 ORDER BY SIZE ASC LIMIT 1 ;
What is the total number of apartments with balconies owned by each owner? ||| SELECT COUNT( T1.APARTMENTID ) , T2.OWNERNAME FROM APARTMENTDETAILS AS T1 INNER JOIN OWNERS AS T2 ON T2.OWNERID = T1.APARTMENTADDRESS WHERE T1.BALCONY = 1 GROUP BY T2.OWNERNAME ;
Retrieve the list of all apartments with their latest review text and rating. ||| SELECT T1.APARTMENTID , T3.RATING , T3.TEXT FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTRATINGS AS T2 ON T2.APARTMENTID = T1.APARTMENTID INNER JOIN ( SELECT APARTMENTID , MAX( RATING ) AS RATING , TEXT FROM APARTMENTRATINGS GROUP BY APARTMENTID ) AS T3 ON T3.APARTMENTID = T1.APARTMENTID ;
List apartments with their addresses that have never received a rating of 1. ||| SELECT T1.APARTMENTADDRESS FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTRATINGS AS T2 ON T2.APARTMENTID = T1.APARTMENTID WHERE T2.RATING != 1 GROUP BY T1.APARTMENTADDRESS HAVING COUNT( T2.RATING ) = ( SELECT COUNT( DISTINCT T3.RATING ) - SUM( CASE WHEN T3.RATING = 1 THEN 1 ELSE 0 END ) AS A FROM APARTMENTRATINGS AS T3 ) ;
Get the average size of apartments by the number of rooms. ||| SELECT CAST ( SUM( SIZE ) AS REAL ) / COUNT( APARTMENTID ) FROM APARTMENTDETAILS GROUP BY NUMBEROFROOMS ;
List apartments ordered by their length of the description. ||| SELECT DISTINCT T1.APARTMENTID FROM APARTMENTDESCRIPTION AS T1 INNER JOIN APARTMENTDETAILS AS T2 ON T2.APARTMENTID = T1.APARTMENTID ORDER BY T1.DESCRIPTION DESC ;
Find all apartments with a maximal rating below 3. ||| SELECT T1.APARTMENTID FROM APARTMENTRATINGS AS T1 INNER JOIN APARTMENTDETAILS AS T2 ON T2.APARTMENTID = T1.APARTMENTID WHERE T1.RATING < 3 GROUP BY T1.APARTMENTID ORDER BY MAX( T1.RATING ) ASC LIMIT 1 ;
Find the average number of rooms for apartments with and without balconies. ||| SELECT AVG ( CASE WHEN BALCONY = 0 THEN NUMBEROFROOMS ELSE NULL END ) AS "Without Balcony" , AVG ( CASE WHEN BALCONY = 1 THEN NUMBEROFROOMS ELSE NULL END ) AS "With Balcony" FROM APARTMENTDETAILS ;
List all apartments that were transferred for more than $200,000 and received an average rating of at least 4. ||| SELECT T1.APARTMENTID FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.APARTMENTID = T1.APARTMENTID INNER JOIN OWNERSHIPTRANSFERS AS T3 ON T3.TRANSFERID = T2.TRANSFERID INNER JOIN APARTMENTRATINGS AS T4 ON T4.APARTMENTID = T1.APARTMENTID GROUP BY T1.APARTMENTID HAVING AVG ( T4.RATING ) >= 4 AND T3.PRICE > 200000 ;
Find the apartments that have a size above the average size of all apartments. ||| SELECT * FROM APARTMENTDETAILS WHERE SIZE > ( SELECT AVG ( SIZE ) FROM APARTMENTDETAILS ) ;
List the owners and the total value of all apartments they have transferred. ||| SELECT SUM( T4.PRICE ) , T2.OWNERID FROM APARTMENTOWNERSHIP AS T1 INNER JOIN OWNERS AS T2 ON T2.OWNERID = T1.OWNERID INNER JOIN OWNERSHIPTRANSFERS AS T4 ON T4.TRANSFERID = T1.TRANSFERID GROUP BY T2.OWNERID ;
Select all adresses of all apartments ||| SELECT DISTINCT T1.APARTMENTADDRESS FROM APARTMENTDETAILS AS T1 ;
Get the descriptions of apartments with a balcony ||| SELECT T2.DESCRIPTION FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTDESCRIPTION AS T2 ON T2.APARTMENTID = T1.APARTMENTID WHERE T1.BALCONY = 1 ;
Get top 5 highest-rated apartments ||| SELECT DISTINCT T2.APARTMENTID FROM APARTMENTRATINGS AS T1 INNER JOIN APARTMENTDETAILS AS T2 ON T2.APARTMENTID = T1.APARTMENTID ORDER BY T1.RATING DESC LIMIT 5 ;
Get apartments which are bigger than 1000 ||| SELECT * FROM APARTMENTDETAILS WHERE SIZE > 1000 ;
Find apartments with more than 2 bathrooms and a rating higher than 4 ||| SELECT T1.APARTMENTID FROM APARTMENTRATINGS AS T1 INNER JOIN APARTMENTDETAILS AS T2 ON T2.APARTMENTID = T1.APARTMENTID WHERE T1.RATING > 4 AND T2.NUMBEROFBATHROOMS > 2 ;
Find how many apartments have balconies ||| SELECT COUNT( APARTMENTID ) FROM APARTMENTDETAILS WHERE BALCONY = 1 ;
Find all unique owner names ||| SELECT DISTINCT OWNERNAME FROM OWNERS ;
List all apartments that have a description containing thw word 'beautiful' ||| SELECT APARTMENTID FROM APARTMENTDESCRIPTION WHERE DESCRIPTION LIKE "%beautiful%" ;
Count the number of transfers each owner has been involved in ||| SELECT COUNT( T2.OWNERID ) FROM OWNERSHIPTRANSFERS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.TRANSFERID = T1.TRANSFERID ;
Select all Apartments which have been transfered for more than the average price ||| SELECT T1.APARTMENTADDRESS FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.APARTMENTID = T1.APARTMENTID INNER JOIN OWNERSHIPTRANSFERS AS T3 ON T3.TRANSFERID = T2.TRANSFERID WHERE T3.PRICE > ( SELECT AVG ( PRICE ) FROM OWNERSHIPTRANSFERS ) ;
Select all apartments with a rating of 5 ||| SELECT DISTINCT T2.APARTMENTID FROM APARTMENTRATINGS AS T1 INNER JOIN APARTMENTDETAILS AS T2 ON T2.APARTMENTID = T1.APARTMENTID WHERE T1.RATING = 5 ;
Find all apartments along with their transfer details ||| SELECT T1.APARTMENTADDRESS , T2.TRANSFERID FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.APARTMENTID = T1.APARTMENTID ;
List all apartments and their ratings (if available) ||| SELECT T1.APARTMENTID , T3.RATING , T3.TEXT FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTDESCRIPTION AS T2 ON T2.APARTMENTID = T1.APARTMENTID LEFT JOIN APARTMENTRATINGS AS T3 ON T3.APARTMENTID = T1.APARTMENTID ;
Find the highest transfer price and the corresponding apartment address ||| SELECT T1.APARTMENTADDRESS FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.APARTMENTID = T1.APARTMENTID INNER JOIN OWNERSHIPTRANSFERS AS T3 ON T3.TRANSFERID = T2.TRANSFERID ORDER BY T3.PRICE DESC LIMIT 1 ;
List all transfers before the year 2022 ||| SELECT * FROM `OWNERSHIPTRANSFERS` WHERE STRFTIME ( "%Y" , `DATE` ) < "2022" ;
Get the average, minimum, and maximum size of apartments ||| SELECT AVG ( SIZE ) , MAX( SIZE ) , MIN( SIZE ) FROM APARTMENTDETAILS ;
Find how many unique owners exist in the database ||| SELECT COUNT( DISTINCT OWNERID ) FROM OWNERS ;
List all apartments that share the same number of rooms and bathrooms ||| SELECT DISTINCT T2.APARTMENTID FROM APARTMENTRATINGS AS T1 INNER JOIN APARTMENTDETAILS AS T2 ON T2.APARTMENTID = T1.APARTMENTID ORDER BY T2.NUMBEROFROOMS , T2.NUMBEROFBATHROOMS ;
Get the first 3 apartments with the highest number of rooms ||| SELECT * FROM "ApartmentDetails" ORDER BY NUMBEROFROOMS DESC LIMIT 3 ;
Find apartments that either have a balcony or more than 3 rooms ||| SELECT T1.APARTMENTID FROM APARTMENTDETAILS AS T1 INNER JOIN RESULT AS T2 ON T2.APARTMENTID = T1.APARTMENTID WHERE T1.NUMBEROFROOMS > 3 OR T2.BALCONY = 1 ;
Find the average rating of apartments per number of rooms ||| SELECT AVG ( T2.RATING ) , T1.NUMBEROFROOMS FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTRATINGS AS T2 ON T2.APARTMENTID = T1.APARTMENTID GROUP BY NUMBEROFROOMS ;
Calculate the total price of all transfers ||| SELECT SUM( "Price" ) FROM "OwnershipTransfers" ;
List all apartments owned by 'Joy Smith' ||| SELECT T1.APARTMENTID FROM APARTMENTOWNERSHIP AS T1 INNER JOIN OWNERS AS T2 ON T2.OWNERID = T1.OWNERID WHERE T2.OWNERNAME = "Joy Smith" ;
Find owners who have sold more than nine apartment ||| SELECT T1.OWNERID FROM OWNERS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.OWNERID = T1.OWNERID GROUP BY T2.APARTMENTID HAVING COUNT( T2.APARTMENTID ) > 9 ;
List apartments transferred for prices between 100,000 and 500,000 ||| SELECT T1.APARTMENTID FROM APARTMENTOWNERSHIP AS T1 INNER JOIN OWNERSHIPTRANSFERS AS T2 ON T2.TRANSFERID = T1.TRANSFERID WHERE CAST ( T2.PRICE AS INTEGER ) BETWEEN 100000 AND 500000 ;
