What is the descriiption of the apartment with the ID 14? ||| SELECT DESCRIPTION FROM APARTMENTDESCRIPTION WHERE APARTMENTID = 14 ;
Select all Apartments which have been transfered for more than the average price ||| SELECT AP.APARTMENTADDRESS , AP.NUMBEROFROOMS , AP.SIZE , OT.PRICE FROM APARTMENTDETAILS AP JOIN APARTMENTOWNERSHIP AO ON AP.APARTMENTID = AO.APARTMENTID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID WHERE OT.PRICE > ( SELECT AVG ( PRICE ) FROM OWNERSHIPTRANSFERS ) ;
Select all apartments with a rating of 5 ||| SELECT T1.APARTMENTADDRESS , T2.RATING , T2.TEXT FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTRATINGS AS T2 ON T2.APARTMENTID = T1.APARTMENTID WHERE T2.RATING = 5 ;
Find all apartments along with their transfer details ||| SELECT AD.APARTMENTADDRESS , OD.DESCRIPTION , OT.DATE , OT.PRICE FROM APARTMENTDETAILS AD INNER JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AD.APARTMENTID INNER JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AD.APARTMENTID INNER JOIN APARTMENTDESCRIPTION OD ON OD.APARTMENTID = AD.APARTMENTID ;
List all apartments and their ratings (if available) ||| SELECT AD.APARTMENTADDRESS , AD.NUMBEROFROOMS , AD.SIZE , AR.RATING FROM APARTMENTRATINGS AR LEFT JOIN APARTMENTDETAILS AD ON AR.APARTMENTID = AD.APARTMENTID ;
Find the highest transfer price and the corresponding apartment address ||| SELECT AD.APARTMENTADDRESS , MAX( OT.PRICE ) FROM OWNERSHIPTRANSFERS OT INNER JOIN APARTMENTOWNERSHIP AO ON OT.TRANSFERID = AO.TRANSFERID INNER JOIN APARTMENTDETAILS AD ON AO.APARTMENTID = AD.APARTMENTID GROUP BY AD.APARTMENTADDRESS ORDER BY MAX( OT.PRICE ) DESC LIMIT 1 ;
List all transfers before the year 2022 ||| SELECT * FROM `OWNERSHIPTRANSFERS` WHERE STRFTIME ( "%Y" , DATE ) < "2022" ;
Get the average, minimum, and maximum size of apartments ||| SELECT AVG ( SIZE ) , MAX( SIZE ) , MIN( SIZE ) FROM APARTMENTDETAILS ;
Find how many unique owners exist in the database ||| SELECT COUNT( DISTINCT OWNERID ) FROM OWNERS ;
List all apartments that share the same number of rooms and bathrooms ||| SELECT A1.APARTMENTADDRESS , A1.NUMBEROFBATHROOMS , A1.NUMBEROFROOMS , A1.SIZE FROM APARTMENTDETAILS AS A1 INNER JOIN APARTMENTDESCRIPTION ON APARTMENTDESCRIPTION.APARTMENTID = A1.APARTMENTID INNER JOIN APARTMENTDETAILS AS A2 ON A2.APARTMENTID = A1.APARTMENTID WHERE A2.NUMBEROFBATHROOMS = A1.NUMBEROFBATHROOMS AND A2.NUMBEROFROOMS = A1.NUMBEROFROOMS ;
Get the first 3 apartments with the highest number of rooms ||| SELECT APARTMENTADDRESS , APARTMENTID , NUMBEROFROOMS FROM APARTMENTDETAILS ORDER BY NUMBEROFROOMS DESC LIMIT 3 ;
Find apartments that either have a balcony or more than 3 rooms ||| SELECT APARTMENTADDRESS , APARTMENTID , SIZE FROM APARTMENTDETAILS WHERE BALCONY = 1 OR NUMBEROFROOMS > 3 ;
Find the average rating of apartments per number of rooms ||| SELECT AD.NUMBEROFROOMS , AVG ( AR.RATING ) AS AVERAGERATING FROM APARTMENTDETAILS AD JOIN APARTMENTRATINGS AR ON AR.APARTMENTID = AD.APARTMENTID GROUP BY AD.NUMBEROFROOMS ;
Calculate the total price of all transfers ||| SELECT SUM( OT.PRICE ) AS TOTALPRICEOFALLTRANSFERS FROM OWNERSHIPTRANSFERS OT ;
List all apartments owned by 'Joy Smith' ||| SELECT A.APARTMENTADDRESS , A.APARTMENTID FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID JOIN APARTMENTDETAILS A ON AO.APARTMENTID = A.APARTMENTID WHERE O.OWNERNAME LIKE "Joy Smith" ;
Find owners who have sold more than nine apartment ||| SELECT COUNT( AO.APARTMENTID ) AS NUMBEROFAPARTMENTS , O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID GROUP BY O.OWNERID HAVING COUNT( AO.APARTMENTID ) > 9 ;
List apartments transferred for prices between 100,000 and 500,000 ||| SELECT AD.APARTMENTADDRESS , OT.PRICE FROM APARTMENTDETAILS AD JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AD.APARTMENTID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID WHERE ( OT.PRICE BETWEEN 100000 AND 500000 ) ;
