What is the descriiption of the apartment with the ID 14? ||| SELECT DESCRIPTION FROM APARTMENTDESCRIPTION WHERE APARTMENTID = 14 ;
Retrieve the list of all apartments with their latest review text and rating. ||| SELECT T1.TEXT , T2.DESCRIPTION FROM APARTMENTRATINGS AS T1 INNER JOIN APARTMENTDESCRIPTION AS T2 ON T2.APARTMENTID = T1.APARTMENTID ORDER BY T2.APARTMENTID DESC LIMIT 1 ;
List apartments with their addresses that have never received a rating of 1. ||| SELECT T2.APARTMENTADDRESS FROM APARTMENTRATINGS AS T1 INNER JOIN APARTMENTDETAILS AS T2 ON T2.APARTMENTID = T1.APARTMENTID WHERE T1.RATING != 1 ;
Get the average size of apartments by the number of rooms. ||| SELECT AVG ( SIZE ) FROM APARTMENTDETAILS GROUP BY NUMBEROFROOMS ;
List apartments ordered by their length of the description. ||| SELECT * FROM APARTMENTDESCRIPTION ORDER BY LENGTH ( DESCRIPTION ) ;
Find all apartments with a maximal rating below 3. ||| SELECT DISTINCT T2.APARTMENTID FROM APARTMENTRATINGS AS T1 INNER JOIN APARTMENTDETAILS AS T2 ON T2.APARTMENTID = T1.APARTMENTID WHERE T1.RATING < 3 GROUP BY T1.APARTMENTID ORDER BY MAX( T1.RATING ) DESC ;
Find the average number of rooms for apartments with and without balconies. ||| SELECT AVG ( CASE WHEN BALCONY = 0 THEN NUMBEROFROOMS ELSE NULL END ) AS WITHOUTBALCONY , AVG ( CASE WHEN BALCONY = 1 THEN NUMBEROFROOMS ELSE NULL END ) AS WITHBALCONY FROM APARTMENTDETAILS ;
List all apartments that were transferred for more than $200,000 and received an average rating of at least 4. ||| SELECT T1.APARTMENTID FROM APARTMENTRATINGS AS T1 INNER JOIN OWNERSHIPTRANSFERS AS T2 ON T2.TRANSFERID = T1.APARTMENTID WHERE T2.PRICE > 200000 GROUP BY T1.APARTMENTID HAVING AVG ( T1.RATING ) >= 4 ;
Find the apartments that have a size above the average size of all apartments. ||| SELECT DISTINCT APARTMENTID FROM APARTMENTDETAILS WHERE SIZE > ( SELECT AVG ( SIZE ) FROM APARTMENTDETAILS ) ;
List the owners and the total value of all apartments they have transferred. ||| SELECT SUM( T2.PRICE ) , T1.OWNERNAME FROM OWNERS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T3 ON T3.OWNERID = T1.OWNERID INNER JOIN OWNERSHIPTRANSFERS AS T2 ON T3.TRANSFERID = T2.TRANSFERID GROUP BY T1.OWNERID ORDER BY T1.OWNERID ;
Select all adresses of all apartments ||| SELECT T1.APARTMENTADDRESS FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTDESCRIPTION AS T2 ON T2.APARTMENTID = T1.APARTMENTID ;
Get the descriptions of apartments with a balcony ||| SELECT T1.DESCRIPTION FROM APARTMENTDESCRIPTION AS T1 INNER JOIN APARTMENTDETAILS AS T2 ON T2.APARTMENTID = T1.APARTMENTID WHERE T2.BALCONY = 1 ;
Get top 5 highest-rated apartments ||| SELECT DISTINCT T1.APARTMENTID FROM APARTMENTRATINGS AS T1 INNER JOIN APARTMENTDETAILS AS T2 ON T2.APARTMENTID = T1.APARTMENTID ORDER BY T1.RATING DESC LIMIT 5 ;
Get apartments which are bigger than 1000 ||| SELECT * FROM APARTMENTDETAILS WHERE SIZE > 1000 ;
Find apartments with more than 2 bathrooms and a rating higher than 4 ||| SELECT T1.APARTMENTID FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTRATINGS AS T2 ON T2.APARTMENTID = T1.APARTMENTID WHERE T1.NUMBEROFBATHROOMS > 2 AND T2.RATING > 4 ;
Find how many apartments have balconies ||| SELECT COUNT( * ) FROM APARTMENTDETAILS WHERE BALCONY = 1 ;
Find all unique owner names ||| SELECT DISTINCT OWNERNAME FROM OWNERS ;
List all apartments that have a description containing thw word 'beautiful' ||| SELECT T1.APARTMENTID FROM APARTMENTDESCRIPTION AS T1 INNER JOIN APARTMENTDETAILS AS T2 ON T2.APARTMENTID = T1.APARTMENTID WHERE T1.DESCRIPTION LIKE "%beautiful%" ;
Count the number of transfers each owner has been involved in ||| SELECT COUNT( T2.OWNERID ) FROM OWNERSHIPTRANSFERS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.TRANSFERID = T1.TRANSFERID GROUP BY T2.OWNERID ;
Select all Apartments which have been transfered for more than the average price ||| SELECT T1.APARTMENTADDRESS FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.APARTMENTID = T1.APARTMENTID INNER JOIN OWNERSHIPTRANSFERS AS T3 ON T3.TRANSFERID = T2.TRANSFERID WHERE T3.PRICE > ( SELECT AVG ( T4.PRICE ) FROM OWNERSHIPTRANSFERS AS T4 ) ;
Select all apartments with a rating of 5 ||| SELECT APARTMENTID FROM APARTMENTRATINGS WHERE RATING = 5 ;
Find all apartments along with their transfer details ||| SELECT T1.APARTMENTID , T2.OWNERID , T3.TRANSFERID FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.APARTMENTID = T1.APARTMENTID INNER JOIN OWNERSHIPTRANSFERS AS T3 ON T3.TRANSFERID = T2.TRANSFERID ;
List all apartments and their ratings (if available) ||| SELECT T1.APARTMENTID , T3.RATING FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTDESCRIPTION AS T2 ON T2.APARTMENTID = T1.APARTMENTID LEFT JOIN APARTMENTRATINGS AS T3 ON T3.APARTMENTID = T1.APARTMENTID ;
Find the highest transfer price and the corresponding apartment address ||| SELECT T2.APARTMENTADDRESS FROM OWNERSHIPTRANSFERS AS T1 INNER JOIN APARTMENTDETAILS AS T2 ON T2.APARTMENTID = T1.TRANSFERID ORDER BY T1.PRICE DESC LIMIT 1 ;
List all transfers before the year 2022 ||| SELECT * FROM `OWNERSHIPTRANSFERS` WHERE DATE < "2022-01-01" ;
Get the average, minimum, and maximum size of apartments ||| SELECT AVG ( SIZE ) , MAX( SIZE ) , MIN( SIZE ) FROM APARTMENTDETAILS ;
Find how many unique owners exist in the database ||| SELECT COUNT( DISTINCT OWNERID ) FROM OWNERS ;
List all apartments that share the same number of rooms and bathrooms ||| SELECT DISTINCT T1.APARTMENTID FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTDESCRIPTION AS T2 ON T2.APARTMENTID = T1.APARTMENTID WHERE T1.NUMBEROFROOMS = T1.NUMBEROFBATHROOMS ;
Get the first 3 apartments with the highest number of rooms ||| SELECT * FROM APARTMENTDETAILS ORDER BY NUMBEROFROOMS DESC LIMIT 3 ;
Find apartments that either have a balcony or more than 3 rooms ||| SELECT DISTINCT T2.APARTMENTADDRESS FROM APARTMENTRATINGS AS T1 INNER JOIN APARTMENTDETAILS AS T2 ON T2.APARTMENTID = T1.APARTMENTID WHERE ( T2.BALCONY = "True" OR T2.NUMBEROFROOMS > 3 ) ;
Find the average rating of apartments per number of rooms ||| SELECT CAST ( SUM( T1.RATING ) AS REAL ) / COUNT( DISTINCT T2.APARTMENTID ) FROM APARTMENTRATINGS AS T1 INNER JOIN APARTMENTDETAILS AS T2 ON T2.APARTMENTID = T1.APARTMENTID GROUP BY T2.NUMBEROFROOMS ;
Calculate the total price of all transfers ||| SELECT SUM( PRICE ) FROM OWNERSHIPTRANSFERS ;
List all apartments owned by 'Joy Smith' ||| SELECT T1.APARTMENTADDRESS FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.APARTMENTID = T1.APARTMENTID INNER JOIN OWNERS AS T3 ON T3.OWNERID = T2.OWNERID WHERE T3.OWNERNAME = "Joy Smith" ;
Find owners who have sold more than nine apartment ||| SELECT T1.OWNERID FROM APARTMENTOWNERSHIP AS T1 INNER JOIN OWNERS AS T2 ON T2.OWNERID = T1.OWNERID GROUP BY T1.OWNERID HAVING COUNT( T1.APARTMENTID ) > 9 ;
List apartments transferred for prices between 100,000 and 500,000 ||| SELECT DISTINCT T1.APARTMENTID FROM APARTMENTOWNERSHIP AS T1 INNER JOIN OWNERSHIPTRANSFERS AS T2 ON T2.TRANSFERID = T1.TRANSFERID WHERE T2.PRICE BETWEEN 100000 AND 500000 ;
