What is the descriiption of the apartment with the ID 14? ||| SELECT DESCRIPTION FROM APARTMENTDESCRIPTION WHERE APARTMENTID = 14 ;
Find apartments with more than 2 bathrooms and a rating higher than 4 ||| SELECT AD.APARTMENTADDRESS , AD.APARTMENTID FROM APARTMENTRATINGS AR INNER JOIN APARTMENTDETAILS AD ON AR.APARTMENTID = AD.APARTMENTID WHERE AD.NUMBEROFBATHROOMS > 2 AND AR.RATING > 4 ;
Find how many apartments have balconies ||| SELECT SUM( CASE WHEN BALCONY THEN 1 ELSE 0 END ) FROM APARTMENTDETAILS ;
Find all unique owner names ||| SELECT DISTINCT OWNERNAME FROM OWNERS ;
List all apartments that have a description containing thw word 'beautiful' ||| SELECT AD.APARTMENTADDRESS , D.DESCRIPTION FROM APARTMENTDESCRIPTION D JOIN APARTMENTDETAILS AD ON D.APARTMENTID = AD.APARTMENTID WHERE D.DESCRIPTION LIKE "%beautiful%" ;
Count the number of transfers each owner has been involved in ||| SELECT COUNT( AO.TRANSFERID ) AS NUMBEROFTRANSFERS , O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID GROUP BY O.OWNERID ;
Select all Apartments which have been transfered for more than the average price ||| SELECT AD.APARTMENTADDRESS , AD.SIZE , OT.PRICE FROM APARTMENTDETAILS AD JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AD.APARTMENTID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID WHERE OT.PRICE > ( SELECT AVG ( PRICE ) FROM OWNERSHIPTRANSFERS ) ;
Select all apartments with a rating of 5 ||| SELECT * FROM APARTMENTRATINGS WHERE RATING = 5 ;
Find all apartments along with their transfer details ||| SELECT OD.APARTMENTID , OT.DATE , OT.PRICE FROM APARTMENTDESCRIPTION OD INNER JOIN APARTMENTOWNERSHIP AO ON OD.APARTMENTID = AO.APARTMENTID INNER JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID ;
List all apartments and their ratings (if available) ||| SELECT AD.APARTMENTADDRESS , AD.NUMBEROFROOMS , AD.SIZE , COALESCE ( AR.RATING , 0 ) AS RATING FROM APARTMENTDETAILS AD LEFT JOIN APARTMENTRATINGS AR ON AR.APARTMENTID = AD.APARTMENTID ;
Find the highest transfer price and the corresponding apartment address ||| SELECT A.APARTMENTADDRESS , O.DATE FROM OWNERSHIPTRANSFERS O JOIN APARTMENTOWNERSHIP AO ON O.TRANSFERID = AO.TRANSFERID JOIN APARTMENTDETAILS A ON AO.APARTMENTID = A.APARTMENTID WHERE O.TRANSFERID = ( SELECT MAX( TRANSFERID ) FROM OWNERSHIPTRANSFERS ) ;
List all transfers before the year 2022 ||| SELECT * FROM OWNERSHIPTRANSFERS WHERE STRFTIME ( "%Y" , DATE ) < "2022" ;
Get the average, minimum, and maximum size of apartments ||| SELECT AVG ( SIZE ) , MAX( SIZE ) , MIN( SIZE ) FROM APARTMENTDETAILS ;
Find how many unique owners exist in the database ||| SELECT COUNT( DISTINCT OWNERID ) FROM OWNERS ;
List all apartments that share the same number of rooms and bathrooms ||| SELECT APARTMENTADDRESS , NUMBEROFBATHROOMS , NUMBEROFROOMS FROM APARTMENTDETAILS GROUP BY NUMBEROFROOMS , NUMBEROFBATHROOMS HAVING COUNT( * ) > 1 ;
Get the first 3 apartments with the highest number of rooms ||| SELECT APARTMENTADDRESS , APARTMENTID , NUMBEROFROOMS FROM APARTMENTDETAILS ORDER BY NUMBEROFROOMS DESC LIMIT 3 ;
Find apartments that either have a balcony or more than 3 rooms ||| SELECT APARTMENTADDRESS , APARTMENTID , NUMBEROFROOMS FROM APARTMENTDETAILS WHERE BALCONY = TRUE OR NUMBEROFROOMS >= 3 ;
Find the average rating of apartments per number of rooms ||| SELECT AVG ( AR.RATING ) AS AVERAGERATING FROM APARTMENTRATINGS AR INNER JOIN APARTMENTDETAILS AD ON AR.APARTMENTID = AD.APARTMENTID GROUP BY AD.NUMBEROFROOMS ;
Calculate the total price of all transfers ||| SELECT SUM( TRANSFERID ) FROM OWNERSHIPTRANSFERS ;
List all apartments owned by 'Joy Smith' ||| SELECT DISTINCT AD.DESCRIPTION FROM APARTMENTDESCRIPTION AD JOIN APARTMENTDETAILS AD1 ON AD1.APARTMENTID = AD.APARTMENTID JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AD1.APARTMENTID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID JOIN OWNERS O ON O.OWNERID = AO.OWNERID WHERE O.OWNERNAME LIKE "Joy Smith" ;
Find owners who have sold more than nine apartment ||| SELECT O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID GROUP BY O.OWNERID HAVING COUNT( AO.APARTMENTID ) > 9 ;
List apartments transferred for prices between 100,000 and 500,000 ||| SELECT AAD.APARTMENTADDRESS , OT.PRICE FROM APARTMENTDETAILS AAD JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AAD.APARTMENTID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID WHERE ( OT.PRICE <= 500000 ) AND ( OT.PRICE >= 100000 ) ;
