What is the descriiption of the apartment with the ID 14? ||| SELECT DESCRIPTION FROM APARTMENTDESCRIPTION WHERE APARTMENTID = 14 ;
What is the average price of apartment transfers by year? ||| SELECT CAST ( SUM( OT.PRICE ) AS REAL ) / COUNT( DISTINCT STRFTIME ( "%Y" , OT.DATE ) ) FROM OWNERSHIPTRANSFERS OT ;
Find the most common number of rooms among all apartments. ||| SELECT MAX( NUMBEROFROOMS ) AS MOST_COMMON_ROOMS FROM APARTMENTDETAILS ;
Retrieve the owners and the total number of bathrooms in the apartments they own. ||| SELECT DISTINCT O.OWNERNAME , SUM( AD.NUMBEROFBATHROOMS ) AS TOTALBATHROOMS FROM OWNERS O LEFT JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID INNER JOIN APARTMENTDETAILS AD ON AO.APARTMENTID = AD.APARTMENTID GROUP BY O.OWNERNAME ;
List the apartments with the smallest size that have at least two bathrooms. ||| SELECT APARTMENTADDRESS , BALCONY , NUMBEROFBATHROOMS , NUMBEROFROOMS , SIZE FROM APARTMENTDETAILS WHERE NUMBEROFBATHROOMS >= 2 ORDER BY SIZE ASC LIMIT 1 ;
What is the total number of apartments with balconies owned by each owner? ||| SELECT SUM( CASE WHEN AR.RATING > 4 THEN 1 ELSE 0 END ) AS TOTALRATING FROM APARTMENTRATINGS AR INNER JOIN APARTMENTOWNERSHIP AO ON AR.APARTMENTID = AO.APARTMENTID INNER JOIN OWNERS O ON O.OWNERID = AO.OWNERID WHERE AO.APARTMENTID IN ( SELECT APARTMENTID FROM APARTMENTDETAILS WHERE BALCONY = "True" ) ;
Retrieve the list of all apartments with their latest review text and rating. ||| SELECT AR1.APARTMENTADDRESS , AR2.RATING , AR2.TEXT FROM RESULT AR1 JOIN APARTMENTRATINGS AR2 ON AR2.APARTMENTID = AR1.APARTMENTID ORDER BY AR2.RATING DESC ;
List apartments with their addresses that have never received a rating of 1. ||| SELECT DISTINCT T1.APARTMENTADDRESS , T2.APARTMENTID FROM APARTMENTDETAILS AS T1 LEFT JOIN APARTMENTRATINGS AS T2 ON T2.APARTMENTID = T1.APARTMENTID WHERE T2.RATING > 1 OR T2.RATING IS NULL ;
Get the average size of apartments by the number of rooms. ||| SELECT CAST ( SUM( SIZE ) AS REAL ) / COUNT( APARTMENTID ) FROM APARTMENTDETAILS GROUP BY NUMBEROFROOMS ;
List apartments ordered by their length of the description. ||| SELECT DESCRIPTION FROM APARTMENTDESCRIPTION ORDER BY LENGTH ( DESCRIPTION ) ;
Find all apartments with a maximal rating below 3. ||| SELECT AD.APARTMENTADDRESS , MAX( AR.RATING ) AS HIGHESTRATING FROM APARTMENTDETAILS AD LEFT JOIN APARTMENTRATINGS AR ON AR.APARTMENTID = AD.APARTMENTID WHERE AR.RATING < 3 ;
Find the average number of rooms for apartments with and without balconies. ||| SELECT AVG ( CASE WHEN BALCONY THEN NUMBEROFROOMS ELSE NULL END ) , AVG ( CASE WHEN BALCONY THEN NUMBEROFROOMS ELSE NULL END ) FROM APARTMENTDETAILS ;
List all apartments that were transferred for more than $200,000 and received an average rating of at least 4. ||| SELECT AD.APARTMENTADDRESS , AR.RATING , COUNT( AR.RATING ) AS NUMREVIEWS FROM APARTMENTDETAILS AD JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AD.APARTMENTID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID JOIN APARTMENTRATINGS AR ON AR.APARTMENTID = AD.APARTMENTID WHERE OT.PRICE > 200000 GROUP BY AD.APARTMENTADDRESS , AR.RATING HAVING AVG ( AR.RATING ) >= 4 ;
Find the apartments that have a size above the average size of all apartments. ||| SELECT APARTMENTADDRESS , SIZE FROM APARTMENTDETAILS WHERE SIZE > ( SELECT AVG ( SIZE ) FROM APARTMENTDETAILS ) ;
List the owners and the total value of all apartments they have transferred. ||| SELECT O.OWNERNAME , SUM( OT.PRICE ) AS TOTALVALUE FROM OWNERS O INNER JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID INNER JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID GROUP BY O.OWNERID ;
Select all adresses of all apartments ||| SELECT AD.APARTMENTADDRESS FROM APARTMENTDETAILS AS AD ;
Get the descriptions of apartments with a balcony ||| SELECT DESCRIPTION FROM APARTMENTDESCRIPTION WHERE APARTMENTID IN ( SELECT APARTMENTID FROM APARTMENTDETAILS WHERE BALCONY = 1 ) ;
Get top 5 highest-rated apartments ||| SELECT AD.APARTMENTADDRESS , AD.NUMBEROFROOMS , AD.SIZE , AR.RATING FROM APARTMENTRATINGS AR JOIN APARTMENTDETAILS AD ON AR.APARTMENTID = AD.APARTMENTID ORDER BY AR.RATING DESC LIMIT 5 ;
Get apartments which are bigger than 1000 ||| SELECT APARTMENTADDRESS , SIZE FROM APARTMENTDETAILS WHERE SIZE > 1000 ;
Find apartments with more than 2 bathrooms and a rating higher than 4 ||| SELECT AR.APARTMENTID FROM APARTMENTRATINGS AR INNER JOIN APARTMENTDETAILS AD ON AR.APARTMENTID = AD.APARTMENTID WHERE AD.NUMBEROFBATHROOMS > 2 AND AR.RATING > 4 ;
Find how many apartments have balconies ||| SELECT COUNT( APARTMENTID ) FROM APARTMENTDETAILS WHERE BALCONY = 1 ;
Find all unique owner names ||| SELECT DISTINCT OWNERNAME FROM OWNERS ;
List all apartments that have a description containing thw word 'beautiful' ||| SELECT DESCRIPTION FROM APARTMENTDESCRIPTION WHERE DESCRIPTION LIKE "%beautiful%" ;
Count the number of transfers each owner has been involved in ||| SELECT COUNT( DISTINCT AO.TRANSFERID ) AS NUMBEROFTRANSFERS , O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID GROUP BY O.OWNERID ;
Select all Apartments which have been transfered for more than the average price ||| SELECT AD.APARTMENTADDRESS , AD.NUMBEROFROOMS , AD.SIZE , OT.PRICE FROM APARTMENTDETAILS AD JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AD.APARTMENTID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID WHERE OT.PRICE > ( SELECT CAST ( SUM( OT.PRICE ) AS REAL ) / COUNT( * ) FROM OWNERSHIPTRANSFERS OT ) ;
Select all apartments with a rating of 5 ||| SELECT AD.APARTMENTADDRESS , AR.RATING , AR.TEXT FROM APARTMENTDETAILS AD JOIN APARTMENTRATINGS AR ON AR.APARTMENTID = AD.APARTMENTID WHERE AR.RATING = 5 ;
Find all apartments along with their transfer details ||| SELECT A.APARTMENTADDRESS , OT.DATE , OT.PRICE FROM APARTMENTDETAILS A JOIN OWNERSHIPTRANSFERS OT ON A.APARTMENTID = ( SELECT MAX( OT2.TRANSFERID ) FROM OWNERSHIPTRANSFERS OT2 JOIN APARTMENTOWNERSHIP AO2 ON OT2.TRANSFERID = AO2.TRANSFERID WHERE AO2.APARTMENTID = A.APARTMENTID ) ;
List all apartments and their ratings (if available) ||| SELECT AD.APARTMENTADDRESS , AD.NUMBEROFROOMS , AD.SIZE , AR.RATING , AR.TEXT FROM APARTMENTDETAILS AD LEFT JOIN APARTMENTRATINGS AR ON AR.APARTMENTID = AD.APARTMENTID ;
Find the highest transfer price and the corresponding apartment address ||| SELECT AD.APARTMENTADDRESS , OT.DATE FROM OWNERSHIPTRANSFERS OT JOIN APARTMENTOWNERSHIP AO ON OT.TRANSFERID = AO.TRANSFERID JOIN APARTMENTDETAILS AD ON AO.APARTMENTID = AD.APARTMENTID WHERE OT.TRANSFERID = ( SELECT MAX( OT2.TRANSFERID ) FROM OWNERSHIPTRANSFERS OT2 JOIN APARTMENTOWNERSHIP AO2 ON OT2.TRANSFERID = AO2.TRANSFERID WHERE AO2.APARTMENTID = AD.APARTMENTID ) ORDER BY OT.PRICE DESC LIMIT 1 ;
List all transfers before the year 2022 ||| SELECT DATE , PRICE FROM OWNERSHIPTRANSFERS WHERE DATE < "2022-01-01" ;
Get the average, minimum, and maximum size of apartments ||| SELECT AVG ( SIZE ) , MAX( SIZE ) , MIN( SIZE ) FROM APARTMENTDETAILS ;
Find how many unique owners exist in the database ||| SELECT COUNT( O.OWNERID ) FROM OWNERS O ;
List all apartments that share the same number of rooms and bathrooms ||| SELECT * FROM APARTMENTDETAILS WHERE ( NUMBEROFROOMS , NUMBEROFBATHROOMS ) IN ( SELECT NUMBEROFBATHROOMS , NUMBEROFROOMS FROM APARTMENTDETAILS GROUP BY NUMBEROFROOMS , NUMBEROFBATHROOMS HAVING COUNT( * ) > 1 ) ;
Get the first 3 apartments with the highest number of rooms ||| SELECT APARTMENTID FROM APARTMENTDETAILS ORDER BY NUMBEROFROOMS DESC LIMIT 3 ;
Find apartments that either have a balcony or more than 3 rooms ||| SELECT APARTMENTADDRESS , APARTMENTID , NUMBEROFROOMS FROM APARTMENTDETAILS WHERE ( BALCONY = 1 OR NUMBEROFROOMS > 3 ) ;
Find the average rating of apartments per number of rooms ||| SELECT AVG ( AR.RATING ) AS AVERAGERATING FROM APARTMENTRATINGS AR JOIN APARTMENTDETAILS AD ON AR.APARTMENTID = AD.APARTMENTID GROUP BY AD.NUMBEROFROOMS ;
Calculate the total price of all transfers ||| SELECT SUM( OT.PRICE ) FROM OWNERSHIPTRANSFERS OT ;
List all apartments owned by 'Joy Smith' ||| SELECT DISTINCT AR.APARTMENTID FROM APARTMENTRATINGS AR JOIN APARTMENTDETAILS AD ON AR.APARTMENTID = AD.APARTMENTID JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AD.APARTMENTID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID JOIN OWNERS O ON O.OWNERID = AO.OWNERID WHERE O.OWNERNAME = "Joy Smith" ;
Find owners who have sold more than nine apartment ||| SELECT COUNT( AO.APARTMENTID ) AS NUMBEROFAPARTMENTS , O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID GROUP BY O.OWNERID HAVING COUNT( AO.APARTMENTID ) > 9 ;
List apartments transferred for prices between 100,000 and 500,000 ||| SELECT AD.APARTMENTADDRESS , OT.PRICE FROM APARTMENTDETAILS AD JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AD.APARTMENTID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID WHERE ( OT.PRICE BETWEEN 100000 AND 500000 ) ;
